,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Todo De Ti","Rauw Alejandro",5481040,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
2,Pepas,Farruko,5192176,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
3,Yonaguni,"Bad Bunny",4978823,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
4,Volví,Aventura,4641407,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
5,"Qué Más Pues?","J Balvin",4090165,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
6,"Botella Tras Botella","Gera MX",3489068,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
7,"AM Remix","Nio Garcia",3488813,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
8,París,Ingratax,3273818,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
9,Sobrio,Maluma,3243187,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
10,"Pareja Del Año","Sebastian Yatra",2927354,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
11,"Tiroteo - Remix","Marc Seguí",2817272,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
12,Mónaco,LAGOS,2672464,https://open.spotify.com/track/3HgvO4B5LLmdPOT2d8cSZd
13,"STAY (with Justin Bieber)","The Kid LAROI",2635782,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
14,DÁKITI,"Bad Bunny",2537894,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
15,"Cuidando El Territorio","Calibre 50",2509664,https://open.spotify.com/track/64ImcY4fJhY243wr20SR3e
16,"Volando - Remix",Mora,2484067,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
17,Beggin',Måneskin,2475360,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
18,"Ya Acabo","Marca MP",2354442,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
19,"911 - Remix",Sech,2238598,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
20,"Se Me Olvidó","Gera MX",2191266,https://open.spotify.com/track/7xLYLM5K6S1TwiSdfuhZQg
21,Miénteme,TINI,2155264,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
22,"Entre Nosotros","Tiago PZK",2118688,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
23,"In Da Getto","J Balvin",2089814,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
24,"Porte Exuberante","Natanael Cano",2030273,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
25,"Poblado - Remix","J Balvin",2029005,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
26,Cúrame,"Rauw Alejandro",2010776,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
27,Fiel,"Los Legendarios",1890404,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
28,"El Tóxico","Grupo Firme",1854240,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
29,"Debo Entender","Santa Fe Klan",1851510,https://open.spotify.com/track/55mzJ0LftLnef8sxAjrMkU
30,"Take My Breath","The Weeknd",1751213,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
31,Hawái,Maluma,1692550,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
32,Loquita,Reik,1642583,https://open.spotify.com/track/2OTULPNeQUkwQ0tNzcG7tj
33,"Todo Va a Estar Bien","Santa Fe Klan",1639399,https://open.spotify.com/track/3XjRIN9vEt35lm1iStPcgq
34,"A La Antigüita","Calibre 50",1601304,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
35,2/Catorce,"Rauw Alejandro",1594609,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
36,"EL MAKINON","KAROL G",1546798,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
37,"Fiel - Remix",Wisin,1513539,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
38,"Kiss Me More (feat. SZA)","Doja Cat",1511910,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
39,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1469208,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
40,"LA NOCHE DE ANOCHE","Bad Bunny",1425944,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
41,"En Tu Perra Vida","Grupo Firme",1423506,https://open.spotify.com/track/0ldT3gl7aGNzrJyd4b1CA4
42,"Sal y Perrea",Sech,1405311,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
43,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",1397145,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
44,AM,"Nio Garcia",1383764,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
45,Saturno,"Pablo Alborán",1381760,https://open.spotify.com/track/2f0Ft2XdvNSMSY5TUlZgEz
46,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1381543,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
47,PSL,Sech,1326789,https://open.spotify.com/track/6o4Gciys1ZIOQ2kDGnvKdm
48,"Ram Pam Pam","Natti Natasha",1318799,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
49,"Gracias - En Vivo","Grupo Firme",1312895,https://open.spotify.com/track/2XlGKZNMkRKvEJsbwQ6MCl
50,telepatía,"Kali Uchis",1307502,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
51,Perfecta,Reik,1285537,https://open.spotify.com/track/6VOb0Kkrd45Bp5RHYSla2J
52,"Bad Habits","Ed Sheeran",1282385,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
53,Loco,"Justin Quiles",1271276,https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH
54,"Tan Bonita","Piso 21",1263713,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
55,BICHOTA,"KAROL G",1256261,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
