,Position,Track_Name_Orig,Artist,Streams,URL,track_id,date_initial,date_fin,track_name,track_release_date,explicit,track_popularity,album_name,artist_id,artist_name,artist_followers,artist_popularity,collaboration_artists_names
0,1,Todo De Ti,Rauw Alejandro,10538011,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF,4fSIb4hdOQ151TILNsSEaF,2021-06-11,2021-06-18,Todo De Ti,2021-05-20,True,91,Todo De Ti,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,7057220,93,Rauw Alejandro
1,2,Yonaguni,Bad Bunny,9077360,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS,2JPLbjOn0wPCngEot2STUS,2021-06-11,2021-06-18,Yonaguni,2021-06-04,True,93,Yonaguni,4q3ewBCX7sLwd24euuV69X,Bad Bunny,38230693,97,Bad Bunny
2,3,Botella Tras Botella,Gera MX,6141470,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK,2MnLkFqY9Rpg9s3Zv6ZJdK,2021-06-11,2021-06-18,Botella Tras Botella,2021-04-23,False,85,Botella Tras Botella,2hejA1Dkf8v8R0koF44FvW,Gera MX,2290612,80,"Gera MX,Christian Nodal"
3,4,Fiel,Los Legendarios,4838494,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs,7Bk0uXKk1uPT0XuQbpFzvs,2021-06-11,2021-06-18,Fiel,2021-02-04,False,84,Los Legendarios 001,0n6sKrG0xKAf8xmdqeNGke,Los Legendarios,48877,77,"Los Legendarios,Wisin,Jhay Cortez"
4,5,Pareja Del Año,Sebastian Yatra,4625812,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM,2rCbl9naJYhaxjLsfx88uM,2021-06-11,2021-06-18,Pareja Del Año,2021-04-16,False,88,Pareja Del Año,07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,16674635,84,"Sebastian Yatra,Myke Towers"
5,6,AM,Nio Garcia,3799649,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv,2dNhNlpZAtV4lwAFW45LIv,2021-06-11,2021-06-18,AM,2021-01-28,True,81,AM,5hdhHgpxyniooUiQVaPxQ0,Nio Garcia,2340031,83,"Nio Garcia,Flow La Movie"
6,7,DÁKITI,Bad Bunny,3401747,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,4MzXwWMhyBbmu6hOcLVD49,2021-06-11,2021-06-18,DÁKITI,2020-11-27,True,84,EL ÚLTIMO TOUR DEL MUNDO,4q3ewBCX7sLwd24euuV69X,Bad Bunny,38230693,97,"Bad Bunny,Jhay Cortez"
7,8,2/Catorce,Rauw Alejandro,3275487,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t,71R8HJxQk5qMiRstrlXN9t,2021-06-11,2021-06-18,2/Catorce,2021-02-14,True,83,2/Catorce,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,7057220,93,"Rauw Alejandro,Mr. Naisgai"
8,9,Qué Más Pues?,J Balvin,3204519,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e,6hf0RpxTbOprT5nnwzkk8e,2021-06-11,2021-06-18,Qué Más Pues?,2021-05-28,False,90,Qué Más Pues?,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,30103784,95,"J Balvin,Maria Becerra"
9,10,EL MAKINON,KAROL G,2748346,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M,2FSGUA0gFgGeQdprjtGM2M,2021-06-11,2021-06-18,EL MAKINON,2021-03-26,False,84,KG0516,790FomKkXshlbRYZFtlgla,KAROL G,18932857,88,"KAROL G,Mariah Angeliq"
10,11,Bandido,Myke Towers,2601708,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb,1xK1Gg9SxG8fy2Ya373oqb,2021-06-11,2021-06-18,Bandido,2020-12-10,False,83,Bandido,7iK8PXO48WeuP03g8YR51W,Myke Towers,6772742,91,"Myke Towers,Juhn"
11,12,Porte Exuberante,Natanael Cano,2433424,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf,4DdnffqoFr9wDRlCACNmGf,2021-06-11,2021-06-18,Porte Exuberante,2021-05-28,False,79,A Mis 20,0elWFr7TW8piilVRYJUe4P,Natanael Cano,2878513,80,"Natanael Cano,Oscar Maydon"
12,13,telepatía,Kali Uchis,2352187,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B,6tDDoYIxWvMLTdKpjFkc1B,2021-06-11,2021-06-18,telepatía,2020-12-04,False,86,Sin Miedo (del Amor y Otros Demonios) ∞,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,2153710,82,Kali Uchis
13,14,LA NOCHE DE ANOCHE,Bad Bunny,2299595,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck,2XIc1pqjXV3Cr2BQUGNBck,2021-06-11,2021-06-18,LA NOCHE DE ANOCHE,2020-11-27,False,84,EL ÚLTIMO TOUR DEL MUNDO,4q3ewBCX7sLwd24euuV69X,Bad Bunny,38230693,97,"Bad Bunny,ROSALÍA"
14,15,Poblado,Crissin,2095197,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e,7xT1n5JKpB0bMPh6FL589e,2021-06-11,2021-06-18,Poblado,2020-12-11,False,50,Poblado,6VOoiigTiLVgsMQPP1JOdC,Crissin,7316,73,"Crissin,Totoy El Frio,Natan & Shander"
15,16,Butter,BTS,2067697,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN,2bgTY4UwhfBYhGT4HUYStN,2021-06-11,2021-06-18,Butter,2021-06-04,False,91,"Butter (Hotter, Sweeter, Cooler)",3Nrfpe0tUJi4K4DXYWgMUX,BTS,39643311,96,BTS
16,17,good 4 u,Olivia Rodrigo,2065396,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,4ZtFanR9U6ndgddUvNcjcG,2021-06-11,2021-06-18,good 4 u,2021-05-21,True,96,SOUR,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,8796291,92,Olivia Rodrigo
17,18,Reloj,Rauw Alejandro,2049459,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J,4loQgPwJHocL3dFwLfjb1J,2021-06-11,2021-06-18,Reloj,2020-11-13,True,74,Afrodisíaco,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,7057220,93,"Rauw Alejandro,Anuel AA"
18,19,Ya Acabo,Marca MP,1945723,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M,4H3t8C59tXjKf1R2iKtc5M,2021-06-11,2021-06-18,Ya Acabo,2021-02-19,False,83,"DEV, Vol. 2",44mEtidu0VdRkIqO4IbkNa,Marca MP,636557,78,Marca MP
19,20,911,Sech,1943723,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX,2p2Q23iaaPSEa1tI6TsCVX,2021-06-11,2021-06-18,911,2021-04-15,True,70,42,77ziqFxp5gaInVrF2lj4ht,Sech,9225863,89,Sech
20,21,Kiss Me More (feat. SZA),Doja Cat,1937191,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK,748mdHapucXQri7IAO8yFK,2021-06-11,2021-06-18,Kiss Me More (feat. SZA),2021-04-09,True,91,Kiss Me More (feat. SZA),5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,10620262,95,"Doja Cat,SZA"
